NOMREG;NOMDEP;DATEAPPELLATION;FERME;ANNREOUV;ANNEXE;nom_du_musee;ADR;CP;VILLE;SITWEB;latitude;longitude
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;www.barr.fr;48.410188;7.45112
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Poterie;2, rue de Kuhlendorf;67660;BETSCHDORF;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php;48.900331;7.914441
ALSACE;BAS-RHIN;01/02/2003;OUI;29-juin-13;;Musée de Bouxwiller et du Pays de Hanau;"2, Place du Château
Halle aux Blés";67330;BOUXWILLER;www.musee-pays-hanau.webmuseo.com;48.824975;7.482776
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Alsacien;1, place Joseph Thierry;67500;HAGUENAU;www.ville-haguenau.fr/pages/culture/musee.htm;48.814611;7.789527
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Historique;"9, Rue du Maréchal Foch
B.P. 40261";67504;HAGUENAU Cedex;www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/;48.812831;7.791479
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;www.chartreuse-molsheim.info;48.54278;7.49023
ALSACE;BAS-RHIN;01/02/2003;NON;;;Maison de l'Archéologie des Vosges du Nord;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;www.musee-niederbronn.fr;48.947443;7.650429
ALSACE;BAS-RHIN;15/12/2002;NON;;;Musée de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;PFAFFENHOFFEN;www.pfaffenhoffen.org ou http://www.musee-image-populaire.webmuseo.com/;48.844809;7.611262
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;musee-reischshoffen.webmuseo.com ou www.lacastine.com;48.932379;7.665286
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée du Château des Rohan;"Château des Rohans
Place du Général de Gaulle";67700;SAVERNE;http://www.louise weiss.org;48.741895;7.362216
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée des Arts Décoratifs;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees-strasbourg.eu;48.581323;7.751359
ALSACE;BAS-RHIN;23/06/2008;NON;;;Musée Tomi Ungerer;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;www.musees-strasbourg.eu;48.585556;7.755619
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée des Beaux-Arts;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu;48.581323;7.751359
ALSACE;BAS-RHIN;01/02/2003;NON;29-juin-07;;Musée Historique;2, Rue du Vieux Marché aux Poissons;67000;STRASBOURG;www.musees-strasbourg.eu;48.580496;7.74967
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;www.musees-strasbourg.eu;48.57862;7.748812
ALSACE;BAS-RHIN;06/01/2002;NON;;;Musée Archéologique;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu;48.581323;7.751359
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de l'Œuvre Notre-Dame;3, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;48.580997;7.751064
ALSACE;BAS-RHIN;01/02/2003;NON;;;Cabinet des Estampes et des Dessins;5, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;48.581108;7.750893
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;www.musees-strasbourg.eu;48.580058;7.736546
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;www.musees.strasbourg.eu;48.582685;7.764696
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;www.musee-oberlin.com;48.414761;7.214894
ALSACE;BAS-RHIN;26/03/2007;NON;01-juil-11;;Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;www.musee-lalique.com;48.927033;7.361922
ALSACE;BAS-RHIN;01/02/2003;OUI;2013;;Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;49.038815;7.944344
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Bataille du 6 Août 1870;2, Rue du Moulin;67360;WOERTH;www.woerth-en-alsace.com;48.938618;7.747992
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;;47.623494;7.23739
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;www.ville-biesheim.fr/museegr.html;48.041378;7.547923
ALSACE;HAUT-RHIN;01/02/2003;NON;15-sept-07;;Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org;47.809504;7.174289
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;www.musee-unterlinden.com;48.079733;7.354974
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Bartholdi;30, Rue des Marchands;68000;COLMAR;www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr;48.076747;7.357746
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;www.museumcolmar.org;48.073594;7.35872
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;www.ville-guebwiller.fr/musee-deck/;47.905522;7.214504
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;;47.591513;7.584985
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Histoire Local;64, avenue du Général de Gaulle;68240;KAYSERSBERG;www.ville-kaysersberg.fr;48.139072;7.261441
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Vignoble et des Vins d'Alsace;Château de la Confrérie St-Etienne;68240;KIENTZHEIM;www.musee-du-vignoble-alsace.fr;;
ALSACE;HAUT-RHIN;18/11/2002;NON;11-mars-05;;Cité du Train;2, rue Alfred de Glehn;68200;MULHOUSE;www.citedutrain.com;47.751091;7.293676
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Historique;4, Rue des Archives;68100;MULHOUSE;www.musees-mulhouse.fr/musee-historique/collections.html;47.746535;7.339544
ALSACE;HAUT-RHIN;01/02/2003;OUI;juin-13;;Musée du Sapeur Pompier;"Association des Amis du Musée
4, Boulevard de la Marseillaise";68100;MULHOUSE;http://musee.spmulhouse.free.fr;47.757665;7.335541
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html;47.745774;7.338271
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée de l'Impression sur Etoffes;"14, rue Jean-Jacques Henner
B.P. 1468";68072;MULHOUSE CEDEX;www.musee-impression.com;47.74415;7.343298
ALSACE;HAUT-RHIN;01/02/2003;NON;25-mars-00;;Musée National de l'Automobile - Collection Schlumpf;"192, Avenue de Colmar
CS 91096";68051;MULHOUSE Cedex;www.collection-schlumpf.com;47.760209;7.327993
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée EDF Electropolis;"55, rue du Pâturage
B.P. 52463";68057;MULHOUSE Cedex;electropolis.edf.com;47.749347;7.295182
ALSACE;HAUT-RHIN;01/02/2003;OUI;;;Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE Cedex;;47.732773;7.312173
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;www.neuf-brisach.fr;48.016059;7.525831
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Maison du Sundgau - Musée Paysan;10, rue Principale;68480;OLTINGUE;http://musee.paysan.free.fr/;47.492827;7.391275
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Dolder;57, Rue du Général de Gaulle;68340;RIQUEWIHR;Site des musées d'Alsace;48.16694;7.297357
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Papier Peint;"La Commanderie  28, rue Zuber
B.P. 41";68171;RIXHEIM Cedex;www.museepapierpeint.org;47.74438;7.397815
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée des Amis de Thann;24, Rue Saint Thiébaut;68800;THANN;www.ville-thann.fr - http://www.genealogiethaznn.org;47.812283;7.101737
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Ecomusée d'Alsace;B.P. 71;68190;UNGERSHEIM;www.ecomusee-alsace.com;;
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée d'Anthropologie du Tabac d'Intérêt National;"Maison Peyrarède
Place du Feu";24100;BERGERAC;http://www.bergerac.fr/EspCulture/sitetabac/index.htm;44.849787;0.483514
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Château de Bourdeilles;Bourdeilles;24310;BOURDEILLES;Site des musées aquitains;45.316682;0.565763
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée Fernand Desmoulin;Boulevard Charlemagne;24310;BRANTOME;Site des musées aquitains ou http://www.perigord-dronne-belle.fr;45.364629;0.647342
AQUITAINE;DORDOGNE;01/02/2003;OUI;Non prévu;;Musée-Aquarium;Site Bella-Riva;24100;CREYSSE;;44.854577;0.564797
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée Paul Reclus;Place de la Halle;24250;DOMME;;44.803002;1.214222
AQUITAINE;DORDOGNE;06/01/2002;NON;2004;;Musée National de la Préhistoire;B.P. 7;24620;LES EYZIES-DE-TAYAC;www.musee-prehistoire-eyzies.fr;;
AQUITAINE;DORDOGNE;01/02/2003;OUI;Pas de projet;;Musée Eugène Le Roy et des Vieux Métiers;Place Bertran de Borne;24290;MONTIGNAC;;45.063871;1.163492
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée des Arts et Traditions Populaires du Périgord;2, Rue Raoul Grassin;24400;MUSSIDAN;www.museevoulgre.cjb.net;45.037552;0.362147
AQUITAINE;DORDOGNE;01/02/2003;OUI;Non prévue;;Musée Départemental de la Poupée et du Jouet;Avenue du Général Leclerc;24300;NONTRON;Site des musées aquitains;45.527035;0.660711
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée d'Art et d'Archéologie du Périgord (MAAP);22, Cours Tourny;24000;PERIGUEUX;http://www.perigueux-maap.fr/;45.186039;0.72395
AQUITAINE;DORDOGNE;19/11/2009;NON;;;Musée Gallo-Romain de Vesunna;"Parc de Vésone
20, Rue du 26ème Régiment d'Infanterie";24000;PERIGUEUX;www.vesunna.fr ou http://www.perigueux-vesunna.fr/;45.179999;0.71269
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée Militaire - Souvenir du Périgord;32, Rue des Farges;24000;PERIGUEUX;www.museemilitaire-perigord.fr;45.183285;0.720943
AQUITAINE;DORDOGNE;01/02/2003;OUI;2012;;Musée du Site Médiéval;;24440;SAINT-AVIT-SENIEUR;;44.756834;0.842382
AQUITAINE;DORDOGNE;01/02/2003;OUI;Non prévue;;Musée de Sarlat et du Périgord Noir;B.P. 163;24205;SARLAT-LA-CANEDA;Site des musées aquitains;;
AQUITAINE;DORDOGNE;01/02/2003;OUI;2013;;Musée d'Art et Traditions Populaires;"Hôtel de ville
Place de la liberté";24610;VILLEFRANCHE-DE-LONCHAT;Site des musées aquitains;;
AQUITAINE;GIRONDE;01/02/2003;OUI;Non encore prévue;;Musée Municipal de Blasimon;Mairie de Blasimon;33540;BLASIMON;;44.747676;-0.092939
AQUITAINE;GIRONDE;01/02/2003;OUI;Non précisée;;Musée d'Art et d'Histoire du Pays Blayais;Citadelle de Blaye;33390;BLAYE;Site des musées aquitains;45.126379;-0.663606
AQUITAINE;GIRONDE;01/02/2003;NON;;;Centre National Jean Moulin;"Direction des établissements culturels
48, rue Vital Carles";33000;BORDEAUX;Site de la ville : www.bordeaux.fr;44.838651;-0.577869
AQUITAINE;GIRONDE;01/02/2003;NON;;;CAPC Musée d'Art Contemporain de Bordeaux;"Entrepôt
7, Rue Ferrère";33000;BORDEAUX;www.capc-bordeaux.fr ou www.bordeaux.fr;44.848186;-0.572137
AQUITAINE;GIRONDE;06/01/2002;NON;;;Musée d'Aquitaine;20, Cours Pasteur;33000;BORDEAUX;www.musee-aquitaine-bordeaux.fr;44.835543;-0.575205
AQUITAINE;GIRONDE;06/01/2002;NON;;;Musée des Beaux-Arts;20, Cours D'Albret;33000;BORDEAUX;www.musba-bordeaux.fr;44.838056;-0.579413
AQUITAINE;GIRONDE;01/02/2003;NON;;;Musée des Arts Décoratifs;"Hôtel de Lalande
39, Rue Bouffard";33000;BORDEAUX;Site de la ville -  www.mairie-bordeaux.fr;44.838956;-0.579686
AQUITAINE;GIRONDE;01/02/2003;OUI;2016-2017;;Muséum d'Histoire Naturelle de Bordeaux;5, Place Bardineau;33000;BORDEAUX;www.mairie-bordeaux.fr;44.848154;-0.580085
AQUITAINE;GIRONDE;01/02/2003;NON;;;Musée Goupil;"Conservatoire de l'Image Industrielle
20 Cours Pasteur";33000;BORDEAUX;Site de la ville;44.835543;-0.575205
AQUITAINE;GIRONDE;01/02/2003;NON;;;Musée de la Voiture à Cheval;3, Place de la Citadelle;33710;BOURG-SUR-GIRONDE;Site des musées d'aquitaine;45.039708;-0.560791
AQUITAINE;GIRONDE;01/02/2003;OUI;Réflexion pour CIAP;;Musée Municipal;Esplanade Charles de Gaulle;33190;LA REOLE;;44.581128;-0.041074
AQUITAINE;GIRONDE;01/02/2003;NON;;;Musée des Beaux-Arts et d'Archéologie;42, Place  Abel Surchamp;33500;LIBOURNE;www.musees-libourne.org;44.914487;-0.245068
AQUITAINE;GIRONDE;01/02/2003;OUI;Non précisée;;Musée Historique ou du Vieux Libourne (Robin);;33500;LIBOURNE;;44.91759;-0.244124
AQUITAINE;GIRONDE;01/02/2003;OUI;Projet CIAP;;Musée d'Histoire et d'Archéologique;Logis Mallet;33330;SAINT-EMILION;;;
AQUITAINE;GIRONDE;01/02/2003;OUI;Pas d'info;;Musée Municipal;Maison Braneyre Impasse Dupeyron;33730;VILLANDRAUT;;;
AQUITAINE;LANDES;01/02/2003;NON;;;Musée Historique de l'Hydravion;332, Avenue Louis Breguet;40600;BISCARROSSE;www.hydravions-biscarrosse.com;44.388887;-1.182563
AQUITAINE;LANDES;01/02/2003;NON;21-juin-08;;Musée de Borda;"Mairie de Dax Service du musée Borda
14, Rue Saint Pierre
B.P. 50344";40107;DAX Cédex;http://www.dax.fr/musee-de-borda - Site des musées aquitains;43.708837;-1.051437
AQUITAINE;LANDES;01/02/2003;NON;04-oct-03;;Musée Départemental de Préhistoire;Abbaye d'Arthous;40300;HASTINGUES;www.culture-commune.fr - www.arthous.landes.org/;43.524706;-1.121479
AQUITAINE;LANDES;01/02/2003;OUI;2014;;Atelier-Musée  (Ecomusée de la Grande Landes);101, Rue Jacques Desert;40043;LUXEY;Site du parc - www.parc-landes-de-gascogne.fr;44.263529;-0.518812
AQUITAINE;LANDES;01/02/2003;NON;;;Musée Despiau-Wlérick;6, Place Marguerite de Navarre;40000;MONT-DE-MARSAN;www.mont-de-marsan.org/decouvrir/decouv_muse.html ou Site des musées aquitains;43.892599;-0.498893
AQUITAINE;LANDES;01/02/2003;NON;;;Musée de la Chalosse;"Domaine de Carcher
480, Chemin du Sala
B.P. 24";40380;MONTFORT-EN-CHALOSSE;www.museedelachalosse.fr;43.715749;-0.833916
AQUITAINE;LANDES;01/02/2003;NON;;;Ecomusée de la Grande Lande;Route de Soférino;40630;SABRES;www.parc-landes-de-gascogne.fr;44.149054;-0.750737
AQUITAINE;LANDES;01/02/2003;NON;;;Musée Municipal;Rue du Général Lamarque;40500;SAINT-SEVER;http://www.saint-sever.fr/culture_musee.htm;43.758576;-0.572238
AQUITAINE;LANDES;01/02/2003;NON;2002;;Musée Départemental de la Faïence et des Arts de la table;2378, Route d'Hagetmau;40320;SAMADET;www.museesamadet.landes.org;43.641006;-0.510832
AQUITAINE;LANDES;01/02/2003;NON;juin-09;;Musée Municipal du Lac;112, Place de la Mairie;40460;SANGUINET;www.ville-sanguinet.fr;44.483691;-1.075968
AQUITAINE;LOT ET GARONNE;01/02/2003;NON;;;Musée des Beaux-Arts;Place du Dr Pierre Esquirol;47916;AGEN Cedex 9;www.agen.fr/musee;44.202967;0.615493
AQUITAINE;LOT ET GARONNE;01/02/2003;NON;;;Musée Municipal Albert Marzelles;15, Rue Abel Boyé;47200;MARMANDE;Site des musées aquitains et site de la ville;44.498918;0.166067
AQUITAINE;LOT ET GARONNE;29/08/2006;NON;;;Musée du Liège et du Bouchon;Rue du Puits Saint Côme;47170;MEZIN;www.cg47.fr;44.056911;0.25639
AQUITAINE;LOT ET GARONNE;01/02/2003;NON;;;Musée du Château Henri IV;Rue Henri IV;47600;NERAC;Site des musées aquitains ou www.nerac.fr;44.135138;0.33973
AQUITAINE;LOT ET GARONNE;01/02/2003;NON;2012;;Musée de Préhistoire Mésolithique Laurent Coulonges;Le Bourg;47500;SAUVETERRE-LA-LEMANCE;www.sauveterre-prehistoire.fr ou www.tourisme-fumelois.fr;44.597508;1.016896
AQUITAINE;LOT ET GARONNE;01/02/2003;NON;;;Musée Municipal (Moulin de Gajac);2, Rue du Jardins;47300;VILLENEUVE-SUR-LOT;Site de la ville;44.405095;0.707815
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;;;Musée Municipal;Rue de l'Eglise;64260;ARUDY;www.museearudy.com ou www.ot-arudy.fr;43.105938;-0.42719
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;OUI;;;Musée Bonnat-Helleu - Musée des Beaux-Arts de Bayonne;5, Rue Jacques-Laffitte;64100;BAYONNE;www.museebonnat.bayonne.fr;43.49213;-1.472317
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;21/06/2001;;Musée Basque et de l'Histoire de Bayonne;37, Quai des Corsaires;64100;BAYONNE;www.musee-basque.com;43.491074;-1.473873
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;juin-10;;Muséum d'Histoire Naturelle;"Hôtel de ville
1, Avenue Maréchal Leclerc";64100;BAYONNE;www.museum.bayonne.fr;43.493388;-1.48047
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;;;Musée Edmond Rostand;"Villa Arnaga
Route du Docteur Camino";64250;CAMBO-LES-BAINS;www.arnaga.com;;
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;;;Musée Municipal de Guéthary;"Parc municipal André Narbaits 
117, Avenue du Général de Gaulle";64210;GUETHARY;http://www.musee-de-guethary.fr/ OU Site des musées aquitains;43.421516;-1.607796
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;;;Musée Municipal des Beaux-Arts;Rue Mathieu Lalanne;64000;PAU;http://musee.ville-pau.fr;43.297273;-0.364361
AQUITAINE;PYRÉNÉES ATLANTIQUES;06/01/2002;NON;;;Musée National du Château;;64000;PAU;www.musee-chateau-pau.fr;43.301752;-0.369218
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;OUI;?;;Musée Béarnais;"Association Régionaliste de Pyrénées
7 avenue Henri Faisans";64000;PAU;;43.299954;-0.361253
AQUITAINE;PYRÉNÉES ATLANTIQUES;01/02/2003;NON;;;Musée Bernadotte;8, Rue Tran;64000;PAU;site de la ville;43.297209;-0.372526
AUVERGNE;ALLIER;01/02/2003;NON;;;Musée Charles-Louis Philippe;5, Rue Charles-Louis Philippe;3350;CERILLY;www.mairie-cerilly.fr;46.617913;2.823245
AUVERGNE;ALLIER;01/02/2003;NON;;;Musée Municipal de Gannat;Place Rantian;3800;GANNAT;http://www.bassin-gannat.com/;46.102147;3.19633
AUVERGNE;ALLIER;01/02/2003;OUI;Non prévue;;Musée Rural de la Sologne Bourbonnaise;"Michel LABONNE
Secrétaire des Amis du Muséee
149, Route de Bourgogne";3400;IZEURE;;46.57337;3.359803
AUVERGNE;ALLIER;01/02/2003;OUI;21-juin-13;;Musée des Musiques Populaires - MuPop;3, Rue Notre Dame;3100;MONTLUCON;www.mupop.fr;46.34088;2.605558
AUVERGNE;ALLIER;19/11/2009;NON;;;Centre National du Costume de Scène et de la Scénographie;"Quartier Villars
Route de montilly";3000;MOULINS;www.cncs.fr;;
AUVERGNE;ALLIER;01/02/2003;NON;;;Musée Anne de Beaujeu;"1, Avenue Victor Hugo
B.P. 1669";3016;MOULINS Cedex;www.mab.allier.fr;46.568527;3.333844
AUVERGNE;ALLIER;01/02/2003;NON;;;Musée Rieckotter;"Hôtel de Ville
Boulevard des Arène - B.P. 10";3310;NERIS-LES-BAINS;www.ville-neris-les-bains.fr;;
AUVERGNE;ALLIER;01/02/2003;NON;;;Musée Municipal de Souvigny;Place Aristide Briand;3210;SOUVIGNY;site de la ville www.ville-souvigny.com;46.534768;3.192475
AUVERGNE;ALLIER;01/02/2003;NON;02-juil-02;;Musée des Arts D'Afrique et D'Asie;11, Rue Mounin;3200;VICHY;www.musee-aaa.com;46.128546;3.420555
AUVERGNE;CANTAL;01/02/2003;NON;;;Musée des Sciences;Château Saint Etienne;15000;AURILLAC;www.aurillac.fr;44.933328;2.444943
AUVERGNE;CANTAL;01/02/2003;NON;;;Musée d'Art et d'Archéologie;"Centre Culturel Pierre Mendès France
37, rue des Carmes";15012;AURILLAC Cedex;www.ville-aurillac.fr;44.925394;2.441947
AUVERGNE;CANTAL;01/02/2003;NON;;;Ecomusée de Margeride-Haute-Auvergne;"La Tour
Jardin de Saint-Martin";15320;RUYNES-EN-MARGERIDE;http://www.saint-flour.fr/culture/musees/ecomusee-margeride.php;45.000522;3.224427
AUVERGNE;CANTAL;01/02/2003;NON;;;Musée d'art et d'histoire Alfred Douët;"Maison consulaire
17, Place d'Armes";15100;SAINT-FLOUR;Site de la ville;45.034016;3.095067
AUVERGNE;CANTAL;01/02/2003;NON;;;Musée de la Haute Auvergne;"Palais épiscopal
1, Place d'Armes";15100;SAINT-FLOUR;www.auvergne-centrefrance.com/geotouring/musees/detail/mus154.htm;45.033137;3.094858
AUVERGNE;HAUTE-LOIRE;01/02/2003;NON;;;Musée de Paléontologie;Place de l'église;43380;CHILHAC;http://www.museechilhac.fr;45.158926;3.432601
AUVERGNE;HAUTE-LOIRE;01/02/2003;NON;;;Musée des Arts et Traditions Populaires de Haute Loire;;43100;LAVAUDIEU;Site des amis de Lavaudieu - www.abbayedelavaudieu.fr;45.274699;3.434854
AUVERGNE;HAUTE-LOIRE;01/02/2003;OUI;;;Musée Crozatier;Jardin Henri Vinay;43000;LE PUY-EN-VELAY;www.lepuyenvelay.fr;;
AUVERGNE;HAUTE-LOIRE;22/04/2002;NON;"7 juillet  2007
Inauguration le 7 juillet 2007";;Musée des Manufactures de Dentelles;14, avenue de la Gare;43130;RETOURNAC;www.ville-retournac.fr/musee/francais/indexfr.htm;45.202545;4.035302
AUVERGNE;HAUTE-LOIRE;01/02/2003;NON;;;Musée de la Ferblanterie;;43300;SAINT ARCONS D'ALLIER;;45.090036;3.574618
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée de la Dentelle;53, Route Nationale;63220;ARLANC;www.arlanc.com/musee_dentelle.htm;45.414373;3.724421
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée d'Archéologie Bargoin;45, rue Ballainvilliers;63000;CLERMONT-FERRAND;www.clermont-ferrand.fr/-Musee-Bargoin-.html;45.774229;3.0869
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée d'Art Roger-Quillot;"Quartier historique de Montferrand
Place Louis Deteix";63100;CLERMONT-FERRAND;http://museedart.clermont-ferrand.fr;;
AUVERGNE;PUY DE DÔME;06/01/2002;NON;;;Muséum d'Histoire Naturelle Henri-Lecoq;15, rue Bardoux;63000;CLERMONT-FERRAND;www.museelecoq.clermont-ferrand.fr ou www.clermont-ferrand.fr/-Museum-Henri-Lecoq-.html;45.774138;3.088299
AUVERGNE;PUY DE DÔME;01/02/2003;NON;14-mars-07;;Musée Départemental de la Céramique Gallo-Romaine;"39, Rue de la République
B.P. 30";63190;LEZOUX;"www.puydedome.fr rubrique ""découvrir le Puy-de-Dôme""";46.632156;1.066913
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée des Pénitents Blancs;Place de l'Eglise;63940;MARSAC-EN-LIVRADOIS;www.livradois.com/marsac/penitent/index.htm;45.478841;3.728706
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée Paléontologique;Le Bourg;63560;MENAT;;46.103787;2.904038
AUVERGNE;PUY DE DÔME;01/02/2003;OUI;;;Musée Lapidaire;Place de l'Abbaye;63200;MOZAC;www.riom-communaute.fr;45.89205;3.094625
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée Municipal;Parc du Prélong;63790;MUROL;www.musee-murol.net/Musee.htm;45.574781;2.943256
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée Régional d'Auvergne;10 bis, Rue Delile;63200;RIOM;www.riom-communaute.fr;45.895037;3.116254
AUVERGNE;PUY DE DÔME;01/02/2003;NON;22-janv-11;;Musée Francisque Mandet;14, Rue de l'Hôtel de Ville;63200;RIOM;www.riom-communaute.fr;45.893874;3.116508
AUVERGNE;PUY DE DÔME;01/02/2003;NON;;;Musée Municipal de la Coutellerie;58, Rue de la Coutellerie;63300;THIERS;www.ville-thiers.fr/Musee-de-la-Coutellerie;45.852379;3.548141
AUVERGNE;PUY DE DÔME;01/02/2003;OUI;Eté 2011 - exposition;;Musée Municipal Marcel Sahut;2, rue des Ecoles;63530;VOLVIC;www.volvic-tourisme.com/HTML/sites/site_musee.htm;45.860585;3.024306
BOURGOGNE;CÔTE D’OR;01/02/2003;NON;2011;;Muséoparc - Alésia;1, Route des Trois Ormeaux;21150;ALISE-SAINTE-REINE;www.alesia.com;47.536592;4.469595
BOURGOGNE;CÔTE D’OR;01/02/2003;OUI;2018;;Musée Bonaparte;"Bibliothèque Municipale
Passage Xavier Girault";21130;AUXONNE;Site des musées de la région ou site de la ville;;
BOURGOGNE;CÔTE D’OR;01/02/2003;NON;22-avr-06;;Musée des Beaux-Arts;"Porte Marie de Bourgogne
6, boulevard Perpreuil";21200;BEAUNE;www.musees-bourgogne.org ou www.beaune.fr;47.02097;4.839394
BOURGOGNE;CÔTE D’OR;01/02/2003;OUI;Non encore prévue;;Musée E.J Marey;Hôtel de Ville;21200;BEAUNE;www.musees-bourgogne.org;47.026213;4.839367
BOURGOGNE;CÔTE D’OR;01/02/2003;NON;;;Musée du Vin de Bourgogne;"Hôtel des Ducs
Rue d'Enfer";21200;BEAUNE;www.musees-bourgogne.org ou www.beaune.fr;47.023506;4.836339
BOURGOGNE;CÔTE D’OR;01/02/2003;OUI;N'existe plus;;Musée de la Sidérurgie Grande Forge;La Grande Forge;21500;BUFFON;;47.649618;4.260887
